ULTIMATE_PARENT_NUM_JS,LOCATION_NUMBER,COMPANY_NAME,ADDRESS,CITY,STATE_ABBR,ZIP,ZIP4,STATE_CODE,COUNTY_CODE,CARRIER_ROUTE,CBSA_CODE,CBSA_DESC,CBSA_LEVEL,CSA_CODE,MSA_CODE,ADDRESS_TYPE_IND,PRIMARY_MAIL_SCORE,PRIMARY_MAIL_CONF,LATITUDE,LONGITUDE,SECONDARY_ADDRESS,SECONDARY_CITY,SECONDARY_STATE,SECONDARY_ZIP,SECONDARY_ZIP4,SECONDARY_CRRT,SECONDARY_MAIL_SCORE,SECONDARY_MAIL_CONF,PHONE,CONTACT_LAST_NAME,CONTACT_FIRST_NAME,CONTACT_PROF_TITLE,CONTACT_TITLE_CODE,PRIMARY_SIC,PRIMARY_SIC_DESC,SECONDARY_SIC_1,SECONDARY_SIC_DESC,NAICS_CODE,NAICS_DESC,EMPLOYEE_SIZE,EMP_DERIVATION_FLAG,NUMBER_EMPLOYEES,SALES_VOLUME,EST_SALES_VOLUME,EST_TOTAL_SALES_VOL,HEADQUARTERS_CODE,PUBLIC_CO_INDICATOR,FORTUNE_RANK,PRIMARY_URL,YEAR_ESTABLISHED_CCYY,MATCH TYPE,MATCH SCORE,YEAR_APPEARANCE,NEW_ADD_DATE,LAST_MOD_DATE_CCYY,ACTION_CODE,KEY CODES,KEY CODES_2,CORPORATION_DATE,FILING_TYPE,DB_FILE_CODE,SUBSIDIARY_NUMBER,ULTIMATE_PARENT_NUM,BLANK_FIELD,Client_Master Record ID,Client_Source,Client_Source ID,Client_Cluster_ID,Client_Name,Client_Address,Client_City,Client_State,Client_Zip,Client_Country
997629266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997167861,997167861,AKAMAI TECHNOLOGIES INC,8 CAMBRIDGE CTR,CAMBRIDGE,MA,2142,1413,25,17,C037,14460,"BOSTON, MA",2,148,,H,2D,2,42.364232,-71.089491,,,,,,,,,6174443000,LEIGHTON,F THOMSON,,C,573401,COMPUTER SOFTWARE,481302,MARKETING PROGRAMS & SERVICES,44314247,ELECTRONIC STORES,H,A,700,,,1577922,1,1,,AKAMAI.COM,1998,B,100,1999,201410,201502,,,,,,U,,997167861,,A0215241,CSDA,1-23436401,213429,AKAMAI TECHNOLOGIES INC,8 CAMBRIDGE CTR,CAMBRIDGE,MA,02142-1413,USA
997143581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997086970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996799557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996612545,996612545,BH MANAGEMENT SVC LLC,400 LOCUST ST # 790,DES MOINES,IA,50309,2347,19,153,C042,19780,"DES MOINES, IA",2,218,,H,1C,1,41.587355,-93.622505,,,,,,,,,5152442622,LYONS,LAURI,,C,653108,REAL ESTATE MANAGEMENT,,,53121005,OFFICES OF REAL ESTATE AGENTS & BROKERS,D,A,45,,,,1,,,BHMANAGEMENT.COM,,B,99,1998,201502,201502,V,,,,,U,,996612545,,A0172164,CSDA,1-375232861,170791,BH MANAGEMENT SERVICES INC,400 LOCUST ST,DES MOINES,IA,50309-2347,USA
996523841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995773074,995773074,UNICOM GLOBAL INC,15535 SAN FERNANDO MSN BL #310,MISSION HILLS,CA,91345,1343,6,37,C064,31080,,2,348,,H,1C,1,34.271845,-118.470768,,,,,,,,,8188380606,HONG,COREY,,1,573401,COMPUTER SOFTWARE,737101,COMPUTER SERVICES,44314247,ELECTRONIC STORES,D,A,30,,,,1,,,UNICOMSI.COM,,B,97,1998,201108,201502,V,,,,,U,,995773074,,A0259628,CSDA,1-1102911269,257179,UNICOM GLOBAL,15535 S F MSSN BLVD,MISSION HILLS,CA,91345-1343,USA
995069671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994472280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
